Date,Close
21/12/2018 16:00:00,160.05
28/12/2018 16:00:00,163.03
04/01/2019 16:00:00,175.05
11/01/2019 16:00:00,176.93
18/01/2019 16:00:00,202.54
25/01/2019 16:00:00,200.74
01/02/2019 16:00:00,196.54
08/02/2019 16:00:00,191.67
15/02/2019 16:00:00,198.5
22/02/2019 16:00:00,196
01/03/2019 16:00:00,198.2
08/03/2019 16:00:00,195.24
15/03/2019 16:00:00,198.26
22/03/2019 16:00:00,188.96
29/03/2019 16:00:00,191.99
05/04/2019 16:00:00,202.38
12/04/2019 16:00:00,207.84
18/04/2019 16:00:00,205.91
26/04/2019 16:00:00,203.08
03/05/2019 16:00:00,207.52
10/05/2019 16:00:00,202.05
17/05/2019 16:00:00,197.43
24/05/2019 16:00:00,193
31/05/2019 16:00:00,182.49
07/06/2019 16:00:00,189.81
14/06/2019 16:00:00,191.66
21/06/2019 16:00:00,195.94
28/06/2019 16:00:00,204.6
05/07/2019 16:00:00,207.9
12/07/2019 16:00:00,213.94
19/07/2019 16:00:00,213.52
26/07/2019 16:00:00,222.14
02/08/2019 16:00:00,209.37
09/08/2019 16:00:00,206.9
16/08/2019 16:00:00,199.42
23/08/2019 16:00:00,196.2
30/08/2019 16:00:00,203.91
06/09/2019 16:00:00,207.21
13/09/2019 16:00:00,219.9
20/09/2019 16:00:00,213.74
27/09/2019 16:00:00,208.97
04/10/2019 16:00:00,200.8
11/10/2019 16:00:00,204.68
18/10/2019 16:00:00,206.52
25/10/2019 16:00:00,214.23
01/11/2019 16:00:00,217.39
08/11/2019 16:00:00,222.91
15/11/2019 16:00:00,220.25
22/11/2019 16:00:00,220.28
29/11/2019 13:00:00,221.35
06/12/2019 16:00:00,224.61
13/12/2019 16:00:00,225
20/12/2019 16:00:00,228.93
27/12/2019 16:00:00,230.66
03/01/2020 16:00:00,231.58
10/01/2020 16:00:00,242.11
17/01/2020 16:00:00,249.46
24/01/2020 16:00:00,241.92
31/01/2020 16:00:00,237.75
07/02/2020 16:00:00,238
14/02/2020 16:00:00,237.08
21/02/2020 16:00:00,230.62
28/02/2020 16:00:00,200.77
06/03/2020 16:00:00,192.85
13/03/2020 16:00:00,177.17
20/03/2020 16:00:00,138.41
27/03/2020 16:00:00,158.34
03/04/2020 16:00:00,146.93
09/04/2020 16:00:00,184.26
17/04/2020 16:00:00,183.49
24/04/2020 16:00:00,177
01/05/2020 16:00:00,177.1
08/05/2020 16:00:00,185.39
15/05/2020 16:00:00,171.87
22/05/2020 16:00:00,179.93
29/05/2020 16:00:00,196.49
05/06/2020 16:00:00,217.92
12/06/2020 16:00:00,201.78
19/06/2020 16:00:00,201.63
26/06/2020 16:00:00,189.19
02/07/2020 16:00:00,197.4
10/07/2020 16:00:00,205.56
17/07/2020 16:00:00,211.41
24/07/2020 16:00:00,201.47
31/07/2020 16:00:00,197.96
07/08/2020 16:00:00,208.27
14/08/2020 16:00:00,207.97
21/08/2020 16:00:00,202.43
28/08/2020 16:00:00,207.71
04/09/2020 16:00:00,210.94
11/09/2020 16:00:00,200.92
18/09/2020 16:00:00,194.86
25/09/2020 16:00:00,194.95
02/10/2020 16:00:00,199.9
09/10/2020 16:00:00,207.54
16/10/2020 16:00:00,206.21
23/10/2020 16:00:00,205.04
30/10/2020 16:00:00,189.04
06/11/2020 16:00:00,201.26
13/11/2020 16:00:00,219.08
20/11/2020 16:00:00,223.35
27/11/2020 13:00:00,235.4
04/12/2020 16:00:00,239.58
11/12/2020 16:00:00,239.99
18/12/2020 16:00:00,242.13
24/12/2020 13:00:00,256.16
31/12/2020 16:00:00,263.71
08/01/2021 16:00:00,290.08
15/01/2021 16:00:00,301.01
22/01/2021 16:00:00,289.39
29/01/2021 16:00:00,271.17
05/02/2021 16:00:00,293.5
12/02/2021 16:00:00,306.32
19/02/2021 16:00:00,315.62
26/02/2021 16:00:00,319.48
05/03/2021 16:00:00,327.37
12/03/2021 16:00:00,348.81
19/03/2021 16:00:00,344.2
26/03/2021 16:00:00,327.39
01/04/2021 16:00:00,327.64
09/04/2021 16:00:00,330.81
16/04/2021 16:00:00,342.31
23/04/2021 16:00:00,339.35
30/04/2021 16:00:00,348.45
07/05/2021 16:00:00,370.89
14/05/2021 16:00:00,368.77
21/05/2021 16:00:00,366.26
28/05/2021 16:00:00,372.02
04/06/2021 16:00:00,391.45
11/06/2021 16:00:00,378.05
18/06/2021 16:00:00,348.83
25/06/2021 16:00:00,368.77
02/07/2021 16:00:00,374.16
09/07/2021 16:00:00,371.76
16/07/2021 16:00:00,364.8
23/07/2021 16:00:00,374.05
30/07/2021 16:00:00,374.88
06/08/2021 16:00:00,397.89
13/08/2021 16:00:00,410.78
20/08/2021 16:00:00,395.87
27/08/2021 16:00:00,419.69
